LEGEND_COLORS	rgb(190,61,27)	rgb(242,65,102)	rgb(179,35,127)	rgb(178,22,237)	rgb(204,242,3)	rgb(145,215,222)	rgb(22,202,121)	rgb(79,67,21)	rgb(98,253,233)	rgb(36,22,251)	rgb(171,123,236)	rgb(235,221,95)	rgb(65,111,164)	rgb(37,218,143)	rgb(209,89,59)	rgb(123,113,171)	rgb(75,109,97)	rgb(76,193,195)	rgb(48,78,71)	rgb(247,132,74)	rgb(18,237,26)	rgb(31,89,100)	rgb(232,73,147)	rgb(228,41,114)	rgb(214,177,52)	rgb(233,110,113)	rgb(29,91,37)	rgb(84,121,30)	rgb(54,244,237)	rgb(6,119,112)	rgb(50,182,77)	rgb(108,63,37)	rgb(1,174,48)	rgb(173,126,139)	rgb(253,160,53)	rgb(147,27,2)	rgb(19,212,51)	rgb(59,108,77)	rgb(108,216,222)	rgb(45,106,92)	rgb(215,3,135)	rgb(0,166,94)	rgb(234,182,82)	rgb(101,198,201)	rgb(38,41,199)	rgb(185,124,110)	rgb(35,198,219)	rgb(80,85,237)	rgb(155,158,9)	rgb(246,188,199)	rgb(113,105,210)	rgb(156,121,95)	rgb(67,194,155)	rgb(243,116,206)	rgb(226,123,23)	rgb(222,109,222)	rgb(170,205,226)	rgb(253,173,20)
LEGEND_LABELS	arCOG00553	arCOG00557	arCOG00555	arCOG00554	arCOG01445	arCOG00558	arCOG00770	arCOG00874	arCOG00872	arCOG01526	arCOG00876	arCOG00871	arCOG01444	arCOG00560	COG1061	COG0513	arCOG04748	COG0556	COG1201	COG1204	COG1205	COG1203	2XSV4	2XTPR	2XTWI	2XTBV	COG1111	2XSTH	arCOG03143	COG1202	2XUS4	arCOG04818	COG0553	243HG	COG1110	2XTYQ	2XUCK	243CX	243PF	2XTH2	COG1199	23SJE	23S7C	2XTDD	23S0J	23SJ7	23SI2	2XPUH	2N99K	2N92E	2N9AX	2N91F	2N9EH	2XW8W	COG0514	2N9A8	2N90P	2XTM8
LEGEND_SHAPE_SCALES	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
DATA
'Thermococcus profundus'	50	50	50	50	50	50	50	0	50	50	0	0	50	0	50	50	0	0	50	50	50	50	50	50	50	50	50	50	0	50	50	0	0	50	50	0	50	50	50	50	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
'Thermococcus barossii'	50	50	50	50	0	50	50	50	50	50	0	0	50	0	50	50	0	0	50	50	50	50	50	50	0	50	50	50	0	50	50	0	0	0	50	50	50	50	50	50	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
'Thermococcus siculi'	0	50	50	50	50	50	50	50	50	50	0	0	50	0	50	50	0	0	50	0	50	50	0	50	50	50	50	50	0	50	50	50	50	50	50	50	50	50	50	50	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
'Thermococcus radiotolerans'	50	50	50	50	0	50	50	50	50	50	0	0	0	0	50	50	0	0	50	50	50	0	50	50	0	50	50	50	0	50	50	0	0	0	50	50	50	50	50	50	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
'Methanosphaera'	50	50	50	50	0	0	50	50	50	0	0	0	0	0	50	0	0	0	50	50	50	0	50	50	0	50	50	0	0	50	0	0	50	0	0	50	50	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
'Halalkaliarchaeum desulfuricum'	50	50	50	50	0	0	50	50	50	0	0	50	0	0	50	0	0	0	50	50	50	0	50	50	0	50	50	50	0	50	0	50	50	0	0	0	50	0	0	50	50	50	50	50	50	50	50	0	0	0	0	0	0	0	0	0	0	0
'Haloplanus rubicundus'	50	50	50	50	0	0	50	0	50	0	0	0	0	0	0	0	0	0	50	50	50	0	50	50	0	50	50	50	0	50	0	0	0	0	0	0	50	0	0	50	50	50	50	50	50	50	50	0	0	0	0	0	0	0	0	0	0	0
'Natrarchaeobaculum sulfurireducens'	50	50	50	50	0	0	50	50	50	0	0	0	0	0	50	0	0	0	50	50	50	0	50	50	0	50	50	50	0	50	0	50	50	0	0	50	50	0	0	50	50	50	50	50	50	50	50	0	0	0	0	0	0	0	0	0	0	0
'Sulfodiicoccus acidiphilus'	50	50	50	0	0	50	0	50	0	0	0	0	50	0	50	50	0	0	50	50	50	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0
'Methanothrix thermoacetophila'	50	50	0	50	0	0	50	0	50	0	0	0	0	0	0	0	0	0	50	50	0	0	50	0	0	50	50	50	0	50	0	0	0	0	0	0	50	0	0	50	50	0	0	0	0	0	0	0	0	50	50	50	0	0	0	50	50	0
'Cenarchaeum symbiosum'	50	50	50	0	0	50	50	0	50	0	0	0	0	0	0	50	0	0	50	50	50	0	0	0	0	0	50	0	0	0	0	0	50	0	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
'Pyrobaculum arsenaticum'	50	50	50	0	0	0	50	50	0	50	0	0	50	0	50	0	0	0	50	50	50	50	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0	0	0	50	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0
'Halobacterium salinarum'	50	50	0	50	0	0	50	50	50	0	0	50	0	0	50	0	0	0	50	50	0	0	50	0	0	50	50	50	0	50	0	0	50	0	0	0	50	0	0	50	50	50	50	50	50	50	50	0	0	0	0	0	0	0	0	0	0	0
'Sulfolobus islandicus'	50	50	50	0	0	50	50	50	0	50	0	50	50	0	50	50	0	0	50	50	50	50	0	0	0	0	0	0	0	0	0	0	50	0	50	0	0	0	0	0	50	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0
'Methanohalophilus mahii'	50	50	50	50	0	50	50	0	50	0	0	0	0	50	0	50	50	50	50	50	50	0	50	50	0	50	50	50	50	50	50	0	0	0	0	0	50	0	0	50	50	0	0	0	0	0	0	0	50	50	50	50	50	50	50	50	50	50
'Methanohalobium evestigatum'	50	50	50	50	0	50	50	50	50	0	0	0	0	50	50	50	50	50	50	50	50	0	50	50	0	50	50	50	50	50	50	0	0	0	0	50	50	0	0	50	50	0	0	0	0	0	0	0	50	50	50	50	50	50	50	50	50	50
'Methanothermobacter marburgensis'	50	50	50	0	0	50	0	0	50	0	0	0	0	0	0	50	50	50	50	50	50	0	50	50	0	50	50	50	50	50	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50
'Ignisphaera aggregans'	50	50	50	0	0	0	50	0	0	50	0	50	0	0	0	0	0	0	50	50	50	0	0	0	0	0	0	0	0	0	0	0	50	0	50	0	0	0	0	0	50	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0
'Methanothermus fervidus'	50	50	0	0	0	0	0	0	50	50	0	0	0	0	0	0	0	0	50	50	0	0	50	0	0	50	50	50	50	50	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
'Candidatus Caldarchaeum subterraneum'	50	50	50	0	0	0	0	0	50	50	0	0	50	0	0	0	0	0	50	50	50	50	0	0	0	50	50	0	0	0	0	50	50	0	50	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0
'Methanopyrus kandleri'	50	50	50	50	0	0	0	0	50	50	0	0	0	0	0	0	0	0	50	50	50	0	0	0	0	50	50	50	0	50	0	0	0	0	50	0	50	0	0	0	0	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0
'Methanothrix soehngenii'	50	50	0	50	0	50	50	0	50	0	0	0	0	0	0	50	50	50	50	50	0	0	50	0	0	50	50	50	0	50	50	0	0	0	0	0	50	0	0	50	50	0	0	0	0	0	0	0	50	50	50	50	0	0	0	50	50	50
'Methanotorris igneus'	50	50	0	50	0	50	0	0	50	50	0	0	0	0	0	50	0	0	50	50	0	0	50	0	0	50	50	50	0	50	50	0	0	0	50	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
'Methanosalsum zhilinae'	50	50	0	50	50	50	50	50	50	0	0	0	0	50	50	50	50	50	50	50	0	50	50	0	50	50	50	50	50	50	50	0	0	0	0	0	50	0	0	50	50	0	0	0	0	0	0	0	0	50	50	50	50	50	50	50	50	50
'Methanosaeta harundinacea'	50	50	0	50	0	50	50	50	50	0	0	0	0	0	50	50	50	50	50	50	0	0	50	0	0	50	50	50	0	50	50	0	0	0	0	0	50	0	0	50	50	0	0	0	0	0	0	0	50	50	50	50	0	0	0	50	50	50
'Thermococcus litoralis'	50	50	50	0	50	50	50	50	50	0	0	50	50	0	50	50	0	0	50	50	50	50	50	50	50	50	50	50	0	0	50	0	50	50	0	50	0	50	50	50	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
'Candidatus Nitrosopumilus koreensis AR1'	0	50	50	0	0	50	0	0	50	0	0	0	0	0	0	50	0	0	50	0	50	0	0	0	0	0	50	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
'Candidatus Nitrososphaera gargensis'	50	50	50	0	50	50	0	50	50	0	0	0	0	0	50	50	50	50	50	50	50	50	0	0	50	50	50	0	0	0	0	0	0	50	0	50	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
'Methanomethylovorans hollandica'	50	50	50	50	0	50	50	0	50	0	0	0	0	50	0	50	0	0	50	50	50	0	50	50	0	50	50	50	50	50	50	0	0	0	0	0	50	0	0	50	50	0	0	0	0	0	0	0	50	50	50	50	50	50	50	50	50	0
'Methanothermobacter thermautotrophicus'	50	50	50	0	50	50	0	0	50	0	0	0	0	0	0	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50
'Methanococcoides burtonii'	50	50	50	50	50	50	50	0	50	0	0	0	0	50	0	50	0	0	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	0	0	0	50	0	0	50	50	0	0	0	0	0	0	0	50	50	50	50	50	50	50	50	50	0
'Nanoarchaeum equitans'	0	50	0	0	50	0	0	0	50	50	0	0	0	0	50	0	0	0	50	0	0	50	0	0	50	50	50	50	0	0	0	0	0	50	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
'Methanosarcina acetivorans'	50	50	50	50	50	50	50	50	50	0	0	0	0	50	50	50	0	0	50	50	50	50	50	50	50	50	50	50	0	50	50	0	50	0	0	50	50	0	0	50	50	0	0	0	0	0	0	0	50	50	50	50	50	50	50	50	50	0
'Candidatus Methanomassiliicoccus intestinalis'	50	50	0	0	0	50	50	0	50	0	0	0	0	0	0	50	0	0	50	50	0	0	50	0	0	50	50	50	0	0	50	0	0	0	0	0	0	0	0	50	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
'Ferroplasma acidarmanus fer1'	50	50	0	0	0	50	50	50	0	0	0	0	0	0	50	50	0	0	50	50	0	0	50	0	0	0	0	50	0	0	50	0	0	0	0	50	0	0	0	50	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
'Methanothermobacter'	50	50	50	0	0	50	0	0	50	0	0	0	0	0	0	50	50	50	50	50	50	0	50	50	0	50	50	50	50	50	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50
'Methanobacterium'	50	50	50	0	50	50	0	0	50	0	0	0	0	0	0	50	0	0	50	50	50	50	50	50	50	50	50	50	50	50	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
